Object,Value,Value_unit
Image ID,0000,Metadata
Image Path,/Users/clarabird/Box Sync/OSU/CODEX/MMX_v2/demo.png,Metadata
Focal Length,50.0,Metadata
Altitude,50.0,Metadata
Pixel Dimension,0.00391667,Metadata
Mirror Side,None,Metadata
Notes,,Metadata
TL,7.97,Meters
TL_w10.00,0.60,Meters
TL_w20.00,1.00,Meters
TL_w30.00,1.26,Meters
TL_w40.00,1.27,Meters
TL_w50.00,1.15,Meters
TL_w60.00,0.82,Meters
TL_w70.00,0.60,Meters
TL_w80.00,0.42,Meters
TL_w90.00,0.24,Meters
fluke,1.99,Meters
fluke_angle,70.505,Degrees
area,0.026,Square Meters
TL,2034.0,Pixels
TL_w10.0,152.3,Pixels
TL_w20.0,256.2,Pixels
TL_w30.0,321.9,Pixels
TL_w40.0,325.4,Pixels
TL_w50.0,292.7,Pixels
TL_w60.0,210.3,Pixels
TL_w70.0,152.3,Pixels
TL_w80.0,108.1,Pixels
TL_w90.0,60.0,Pixels
fluke,509.3,Pixels
fluke_angle,70.505,Degrees
area,1684.5,Pixels
